theta_o,MRM
-89.9999,0.00327732
-88.9999,0.00241842
-87.9999,0.00183819
-86.9999,0.00145579
-85.9999,0.00119865
-84.9999,0.00101923
-83.9999,0.000889173
-82.9999,0.000791689
-81.9999,0.000716537
-80.9999,0.000657252
-79.9999,0.000609599
-78.9999,0.000570712
-77.9999,0.000538589
-76.9999,0.000511798
-75.9999,0.000489291
-74.9999,0.000470283
-73.9999,0.000454177
-72.9999,0.000440514
-71.9999,0.000428932
-70.9999,0.000419147
-69.9999,0.000410933
-68.9999,0.000404104
-67.9999,0.000398515
-66.9999,0.000394043
-65.9999,0.000390592
-64.9999,0.000388081
-63.9999,0.000386446
-62.9999,0.000385635
-61.9999,0.000385606
-60.9999,0.000386327
-59.9999,0.000387773
-58.9999,0.000389928
-57.9999,0.000392781
-56.9999,0.000396326
-55.9999,0.000400564
-54.9999,0.0004055
-53.9999,0.000411144
-52.9999,0.000417512
-51.9999,0.000424622
-50.9999,0.0004325
-49.9999,0.000441175
-48.9999,0.00045068
-47.9999,0.000461055
-46.9999,0.000472346
-45.9999,0.000484604
-44.9999,0.000497885
-43.9999,0.000512254
-42.9999,0.000527782
-41.9999,0.00054455
-40.9999,0.000562646
-39.9999,0.000582168
-38.9999,0.000603226
-37.9999,0.000625943
-36.9999,0.000650452
-35.9999,0.000676905
-34.9999,0.000705468
-33.9999,0.000736327
-32.9999,0.000769691
-31.9999,0.000805791
-30.9999,0.000844885
-29.9999,0.000887262
-28.9999,0.000933248
-27.9999,0.000983207
-26.9999,0.00103755
-25.9999,0.00109673
-24.9999,0.00116128
-23.9999,0.00123179
-22.9999,0.00130892
-21.9999,0.00139343
-20.9999,0.00148619
-19.9999,0.00158818
-18.9999,0.00170054
-17.9999,0.00182456
-16.9999,0.00196174
-15.9999,0.00211379
-14.9999,0.0022827
-13.9999,0.0024708
-12.9999,0.00268077
-11.9999,0.00291576
-10.9999,0.00317945
-9.9999,0.00347618
-8.9999,0.00381108
-7.9999,0.00419023
-6.9999,0.00462085
-5.9999,0.0051116
-4.9999,0.00567285
-3.9999,0.00631715
-2.9999,0.00705969
-1.9999,0.007919
-0.999901,0.00891777
9.91821e-005,0.010084
1.0001,0.0114523
2.0001,0.0130661
3.0001,0.0149797
4.0001,0.0172619
5.0001,0.0200003
6.0001,0.0233076
7.0001,0.0273295
8.0001,0.0322564
9.0001,0.0383394
10.0001,0.0459126
11.0001,0.0554251
12.0001,0.0674875
13.0001,0.0829385
14.0001,0.102944
15.0001,0.129143
16.0001,0.16387
17.0001,0.210481
18.0001,0.273863
19.0001,0.361186
20.0001,0.483034
21.0001,0.655019
22.0001,0.899933
23.0001,1.25008
24.0001,1.74833
25.0001,2.44388
26.0001,3.37411
27.0001,4.52138
28.0001,5.74734
29.0001,6.75787
30.0001,7.20004
31.0001,6.89479
32.0001,5.98269
33.0001,4.80213
34.0001,3.6566
35.0001,2.70259
36.0001,1.97305
37.0001,1.43982
38.0001,1.05799
39.0001,0.786104
40.0001,0.591857
41.0001,0.451908
42.0001,0.34995
43.0001,0.274739
44.0001,0.218538
45.0001,0.176003
46.0001,0.143407
47.0001,0.11813
48.0001,0.0983074
49.0001,0.0825958
50.0001,0.0700183
51.0001,0.0598556
52.0001,0.0515722
53.0001,0.0447656
54.0001,0.0391299
55.0001,0.0344305
56.0001,0.0304861
57.0001,0.0271551
58.0001,0.0243261
59.0001,0.0219109
60.0001,0.0198389
61.0001,0.0180537
62.0001,0.0165094
63.0001,0.0151688
64.0001,0.0140015
65.0001,0.0129826
66.0001,0.0120915
67.0001,0.0113111
68.0001,0.0106276
69.0001,0.0100291
70.0001,0.00950627
71.0001,0.00905113
72.0001,0.00865739
73.0001,0.00832011
74.0001,0.00803557
75.0001,0.00780128
76.0001,0.007616
77.0001,0.00747986
78.0001,0.00739457
79.0001,0.0073638
80.0001,0.00739386
81.0001,0.00749468
82.0001,0.0076815
83.0001,0.00797771
84.0001,0.00841959
85.0001,0.00906468
86.0001,0.0100064
87.0001,0.011398
88.0001,0.0134844
89.0001,0.0166019
